category,product_name,product_url,price,old_price,discount,reviews,rating
laptops,HAILESI 15 Inch FHD 3240*2160P Portable Monitor Computer Gaming Display 450nit 60Hz 100% sRGB IPS Mini HD Type-C External Screen for Smartphone Tablet Laptop Game Consoles,https://www.banggood.com/HAILESI-15-Inch-FHD-3240+2160P-Portable-Monitor-Computer-Gaming-Display-450nit-60Hz-100-pencent-sRGB-IPS-Mini-HD-Type-C-External-Screen-for-Smartphone-Tablet-Laptop-Game-Consoles-p-2028183.html?cur_warehouse=CN&ID=6287830&rmmds=search,£112.25,£201.28,44% Off,3 reviews,5.00
laptops,HAILESI 15 Inch FHD 2496*1664P Portable Monitor Computer Gaming Display 510nit 60Hz 100% sRGB IPS Mini HD Type-C External Screen for Smartphone Tablet Laptop Game Consoles,https://www.banggood.com/HAILESI-15-Inch-FHD-2496+1664P-Portable-Monitor-Computer-Gaming-Display-510nit-60Hz-100-pencent-sRGB-IPS-Mini-HD-Type-C-External-Screen-for-Smartphone-Tablet-Laptop-Game-Consoles-p-2028180.html?cur_warehouse=CN&ID=6287830&rmmds=search,£100.63,£154.83,35% Off,0 review,
laptops,HAILESI 10.5 Inch Touchable FHD 1280P Portable Monitor Computer Gaming Display USB C External Screen for Smartphone Tablet Laptop Game Consoles,https://www.banggood.com/HAILESI-10_5-Inch-Touchable-FHD-1280P-Portable-Monitor-Computer-Gaming-Display-USB-C-External-Screen-for-Smartphone-Tablet-Laptop-Game-Consoles-p-2027931.html?cur_warehouse=CN&ID=6287836&rmmds=search,£92.12,£147.08,37% Off,1 review,4.00
laptops,GY156SP 15.6inch Dual Screen Portable Gaming Monitor 2560x1440 100% sRGB HDR IPS Type-C/Mini HD/3.5mm AUX Secondary Display Screen with Four Speakers Foldable Monitors for Phone Laptop Game Console Office,https://www.banggood.com/GY156SP-15_6inch-Dual-Screen-Portable-Gaming-Monitor-2560x1440-100-pencent-sRGB-HDR-IPS-Type-C-or-Mini-HD-or-3_5mm-AUX-Secondary-Display-Screen-with-Four-Speakers-Foldable-Monitors-for-Phone-Laptop-Game-Console-Office-p-2023436.html?cur_warehouse=CN&ID=6329519&rmmds=search,£166.44,£201.28,17% Off,0 review,
laptops,15.6 Inch FHD 1080P Touchable Type C HD Portable Computer Monitor Gaming Display Screen for Smartphone Tablet Laptop Game Consoles,https://www.banggood.com/15_6-Inch-FHD-1080P-Touchable-Type-C-HD-Portable-Computer-Monitor-Gaming-Display-Screen-for-Smartphone-Tablet-Laptop-Game-Consoles-p-2014581.html?cur_warehouse=CN&ID=6326682&rmmds=search,£108.38,£131.60,18% Off,0 review,
laptops,15.6 Inch 2.5K Touchable Type C HD Portable Computer Monitor Gaming Display Screen for Smartphone Tablet Laptop Game Consoles,https://www.banggood.com/15_6-Inch-2_5K-Touchable-Type-C-HD-Portable-Computer-Monitor-Gaming-Display-Screen-for-Smartphone-Tablet-Laptop-Game-Consoles-p-2014580.html?cur_warehouse=CN&ID=6326682&rmmds=search,£147.08,£178.05,17% Off,1 review,5.00
laptops,BlitzWolf® BW-WA4 30W Wireless Speaker Portable bluetooth Speaker Double Drivers Bass TWS Stereo IPX6 Waterproof TF Card AUX Outdoors Speaker,https://www.banggood.com/BlitzWolf-BW-WA4-30W-Wireless-Speaker-Portable-bluetooth-Speaker-Double-Drivers-Bass-TWS-Stereo-IPX6-Waterproof-TF-Card-AUX-Outdoors-Speaker-p-1911830.html?cur_warehouse=CN&ID=6287830&rmmds=search,£23.99,£69.67,66% Off,969 reviews,4.92
laptops,BlitzWolf® BW-NEW TH5 10 in 1 USB Hubs with HD 4K@30Hz USB3.0 / USB2.0 / Type-C 2.0 / RJ45 Ethernet / 100W PD Charging / SD TF Card Slots Docking Station for Apple Huawei Macbook,https://www.banggood.com/BlitzWolf-BW-NEW-TH5-10-in-1-USB-Hubs-with-HD-4K-at-30Hz-USB3_0-or-USB2_0-or-Type-C-2_0-or-RJ45-Ethernet-or-100W-PD-Charging-or-SD-TF-Card-Slots-Docking-Station-for-Apple-Huawei-Laptops-Macbook-p-1995235.html?cur_warehouse=CN&rmmds=search,£10.83,£20.12,46% Off,259 reviews,4.96
laptops,SIBOLAN S3-C72 15.6 Inch 1080P Portable Monitor Type-C HDTV 3.5mm AUX Gaming Display Screen HDR 16:9 Low Blue Light for PS4/5 XBox Switch Cell Phone PC Laptop Extension,https://www.banggood.com/SIBOLAN-S3-C72-15_6-Inch-1080P-Portable-Monitor-Type-C-HDTV-3_5mm-AUX-Gaming-Display-Screen-HDR-16-9-Low-Blue-Light-for-PS4-or-5-XBox-Switch-Cell-Phone-PC-Laptop-Extension-p-2015649.html?cur_warehouse=CN&ID=6287830&rmmds=search,£108.38,£154.83,30% Off,0 review,
laptops,Foldable Alloy Laptop Stand with RGB Lights Silent 4-Fan Design for Portable Gaming Notebook 11-17.3 Inch,https://www.banggood.com/Foldable-Alloy-Laptop-Stand-with-RGB-Lights-Silent-4-Fan-Design-for-Portable-Gaming-Notebook-11-17_3-Inch-p-2035753.html?cur_warehouse=CN&ID=6287853&rmmds=search,£18.57,£22.44,17% Off,1 review,5.00
