category,product_name,product_url,price,old_price,discount,reviews,rating
rc_drones,Geprc CL35 V2 142mm Wheelbase 3.5 Inch CineWhoop Frame Kit Support DJI O3 Air Unit for Cinelog35 V2 Drone FPV Racing,https://www.banggood.com/Geprc-CL35-V2-142mm-Wheelbase-3_5-Inch-CineWhoop-Frame-Kit-Support-DJI-O3-Air-Unit-for-Cinelog35-V2-RC-Drone-FPV-Racing-p-1986745.html?cur_warehouse=CN&ID=6223152&rmmds=search,£48.76,£54.18,10% Off,7 reviews,5.00
rc_drones,GEPRC GEP M1025 Series M10 Chip GPS Module for Drone FPV Racing Helicopter Quadcopter Airplane Car,https://www.banggood.com/GEPRC-GEP-M1025-Series-M10-Chip-GPS-Module-for-RC-Drone-FPV-Racing-Helicopter-Quadcopter-RC-Airplane-Car-p-2000868.html?cur_warehouse=CN&ID=6324594&rmmds=search,£15.32,£17.02,10% Off,32 reviews,4.78
rc_drones,DarwinFPV 1504 2300KV 4-6S / 3600KV 4S Brushless Motor 1.5mm Shaft for CineApe 25 2.5 Inch Whoop 3-4 Inch Toothpick BabyApe II Drone FPV Racing,https://www.banggood.com/DarwinFPV-1504-2300KV-4-6S-or-3600KV-4S-Brushless-Motor-1_5mm-Shaft-for-CineApe-25-2_5-Inch-Whoop-3-4-Inch-Toothpick-BabyApe-II-RC-Drone-FPV-Racing-p-1985195.html?cur_warehouse=CN&ID=5146486291970&rmmds=search,£8.72,£9.28,6% Off,54 reviews,4.80
rc_drones,4PCS FlyFishRC Flash 1404 4500KV 3-4S Unibell Brushless Motor 1.5mm Shaft for Drone FPV Racing,https://www.banggood.com/4PCS-FlyFishRC-Flash-1404-4500KV-3-4S-Unibell-Brushless-Motor-1_5mm-Shaft-for-RC-Drone-FPV-Racing-p-1986597.html?cur_warehouse=CN&ID=5180056291971&rmmds=search,£40.74,£43.35,6% Off,17 reviews,5.00
rc_drones,FlyFishRC Volador II VX6 / VD6 V2 T700 Carbon Fiber 6 Inch Deadcat Freestyle Frame Kit Support DJI O3 Air Unit for Drone FPV Racing,https://www.banggood.com/FlyFishRC-Volador-II-VX6-or-VD6-V2-T700-Carbon-Fiber-6-Inch-Deadcat-Freestyle-Frame-Kit-Support-DJI-O3-Air-Unit-for-RC-Drone-FPV-Racing-p-1985825.html?cur_warehouse=CN&ID=62878306322655&rmmds=search,£48.76,£54.18,10% Off,14 reviews,4.93
rc_drones,4PCS FlyFishRC Flash 2506 1550KV 1750KV 6S Unibell Brushless Motor 5mm Shaft for Drone FPV Racing,https://www.banggood.com/4PCS-FlyFishRC-Flash-2506-1550KV-1750KV-6S-Unibell-Brushless-Motor-5mm-Shaft-for-RC-Drone-FPV-Racing-p-1986618.html?cur_warehouse=CN&ID=5668436291971&rmmds=search,£57.59,£61.93,7% Off,4 reviews,4.75
rc_drones,Ape5plus 5 Inch / Ape7plus 7 Inch / Ape9plus 9 Inch / Ape10plus 10 Inch Long Range Frame Kit Support DJI O3 Vista HD for Drone,https://www.banggood.com/Ape5plus-5-Inch-or-Ape7plus-7-Inch-or-Ape9plus-9-Inch-or-Ape10plus-10-Inch-Long-Range-Frame-Kit-Support-DJI-O3-Vista-HD-for-RC-Drone-p-1997076.html?cur_warehouse=CN&ID=47831&rmmds=search,£13.35,£26.70,50% Off,3 reviews,4.67
rc_drones,FlyFishRc Flash 1804 2450KV 6S / 3500KV 4S Freestyle Burshless Motor 1.5mm Shaft for 3.5 Inch Drone FPV Racing,https://www.banggood.com/FlyFishRc-Flash-1804-2450KV-6S-or-3500KV-4S-Freestyle-Burshless-Motor-1_5mm-Shaft-for-3_5-Inch-RC-Drone-FPV-Racing-p-1993176.html?cur_warehouse=CN&ID=5232216291970&rmmds=search,£13.09,£13.93,6% Off,22 reviews,4.95
rc_drones,Geprc SPEEDX2 1804 2450KV 4-6S / 3450KV 2-4S Brushless Motor for Cinebot30 HD 3 Inch Whoop 3-4 Inch Toothpick Long Range FPV Racing Drone,https://www.banggood.com/Geprc-SPEEDX2-1804-2450KV-4-6S-or-3450KV-2-4S-Brushless-Motor-for-Cinebot30-HD-3-Inch-Whoop-3-4-Inch-Toothpick-Long-Range-FPV-Racing-Drone-RC-p-1983902.html?cur_warehouse=CN&ID=52322162878306291970&rmmds=search,£15.11,£16.25,7% Off,10 reviews,4.50
rc_drones,HGLRC Rekon7 324mm 3K Carbon Fiber 7 Inch Long Range Frame Kit Support DJI O3 Air Unit for FPV Racing Drone,https://www.banggood.com/HGLRC-Rekon7-324mm-3K-Carbon-Fiber-7-Inch-Long-Range-Frame-Kit-Support-DJI-O3-Air-Unit-for-RC-FPV-Racing-Drone-p-1986553.html?cur_warehouse=CN&rmmds=search,£48.76,£77.41,37% Off,30 reviews,4.73
rc_drones,Happymodel SuperX HD ELRS 1-2S AIO Flight Controlelr Built-in 12A ESC and UART ELRS Receiver for Digital Whoop Drone FPV Racing,https://www.banggood.com/Happymodel-SuperX-HD-ELRS-1-2S-AIO-Flight-Controlelr-Built-in-12A-ESC-and-UART-ELRS-Receiver-for-Digital-Whoop-RC-Drone-FPV-Racing-p-1999006.html?cur_warehouse=CN&ID=6265504&rmmds=search,£41.80,,,6 reviews,4.83
rc_drones,30.5x30.5mm iFlight BLITZ ATF435 Flight Controller with 5V 9V BEC Output & E55S 55A BL_S 4IN1 ESC Stack for FPV Racing Drone,https://www.banggood.com/30_5x30_5mm-iFlight-BLITZ-ATF435-Flight-Controller-with-5V-9V-BEC-Output-and-E55S-55A-BL_S-4IN1-ESC-Stack-for-RC-FPV-Racing-Drone-p-1996869.html?cur_warehouse=CN&ID=6265504&rmmds=search,£54.18,£72.76,26% Off,4 reviews,5.00
rc_drones,SEQURE S99 Soldering Iron Support PD|QC|DC|PPS Power Supply Compatible with C245 Tip for Drone Model Welding Repair Tool Anti-static Welding Pen,https://www.banggood.com/SEQURE-S99-Soldering-Iron-Support-PD-or-QC-or-DC-or-PPS-Power-Supply-Compatible-with-C245-Tip-for-Drone-RC-Model-Welding-Repair-Tool-Anti-static-Welding-Pen-p-1999349.html?cur_warehouse=CN&ID=6324330&rmmds=search,£32.51,£54.18,40% Off,10 reviews,4.90
rc_drones,Geprc GEP M10 Series GPS Module 3.3-5V M10 Chip Barometer BDS Galileo QZSS SBAS with Onboard Indicator Light for FPV Racing Drone Airplane Mulit-Rotor Quacopter,https://www.banggood.com/Geprc-GEP-M10-Series-GPS-Module-3_3-5V-M10-Chip-Barometer-BDS-Galileo-QZSS-SBAS-with-Onboard-Indicator-Light-for-FPV-Racing-Drone-RC-Airplane-Mulit-Rotor-Quacopter-p-1992833.html?cur_warehouse=CN&ID=6323653&rmmds=search,£15.48,£20.89,26% Off,55 reviews,4.89
rc_drones,HGLRC SPECTER 1303.5 5500KV 2-4S Brushless Motor for 2-2.5 Inch Tiny Or 2-3 Inch Toothpick FPV Racing Drone,https://www.banggood.com/HGLRC-SPECTER-1303_5-5500KV-2-4S-Brushless-Motor-for-2-2_5-Inch-Tiny-Or-2-3-Inch-Toothpick-RC-FPV-Racing-Drone-p-2002126.html?cur_warehouse=CN&ID=522225528047&rmmds=search,£11.64,£12.38,6% Off,4 reviews,5.00
rc_drones,Happymodel Bassline Mobula8 Spare Part EX1103 1103 11000KV 1-3S Brushless Motor 1.5mm Shaft for Drone FPV Racing,https://www.banggood.com/Happymodel-Bassline-Mobula8-Spare-Part-EX1103-1103-11000KV-1-3S-Brushless-Motor-1_5mm-Shaft-for-RC-Drone-FPV-Racing-p-1980393.html?cur_warehouse=CN&ID=6291970&rmmds=search,£10.06,,,37 reviews,5.00
rc_drones,TEOSAW Drake35 155mm Wheelbase Carbon Fiber 3.5 Inch Frame Kit Support Vista Air Unit for DIY Drone FPV Racing,https://www.banggood.com/TEOSAW-Drake35-155mm-Wheelbase-Carbon-Fiber-3_5-Inch-Frame-Kit-Support-Vista-Air-Unit-for-DIY-RC-Drone-FPV-Racing-p-1994393.html?cur_warehouse=CN&ID=6223152&rmmds=search,£17.02,,,16 reviews,4.88
rc_drones,iFlight AOS Cine25 EVO 125mm Wheelbase 2.5mm Arm Thickness 2.5 Inch Frame Kit Support DJI O3 Air Unit for DIY CineWhoop Drone FPV Racing,https://www.banggood.com/IFlight-AOS-Cine25-EVO-125mm-Wheelbase-2_5mm-Arm-Thickness-2_5-Inch-Frame-Kit-Support-DJI-O3-Air-Unit-for-DIY-CineWhoop-RC-Drone-FPV-Racing-p-1988794.html?cur_warehouse=CN&ID=6223152&rmmds=search,£50.31,,,2 reviews,3.50
rc_drones,Happymodel Bassline Spare Part 90mm Wheelbase 2 Inch Empty Frame Kit for Micro Toothpick Drone FPV Racing,https://www.banggood.com/Happymodel-Bassline-Spare-Part-90mm-Wheelbase-2-Inch-Empty-Frame-Kit-for-Micro-Toothpick-RC-Drone-FPV-Racing-p-1980439.html?cur_warehouse=CN&ID=6223152&rmmds=search,£17.80,,,13 reviews,5.00
rc_drones,TEOSAW Ran4 Advanced 185mm 4 Inch Foldable Long Range Frame Kit Support VISTA HD System for DIY Drone FPV Racing,https://www.banggood.com/TEOSAW-Ran4-Advanced-185mm-4-Inch-Foldable-Long-Range-Frame-Kit-Support-VISTA-HD-System-for-DIY-RC-Drone-FPV-Racing-p-1991243.html?cur_warehouse=CN&ID=6223152&rmmds=search,£10.83,,,28 reviews,4.79
rc_drones,Foxeer Datura 1507 2750KV 4-6S / 4150KV 3-4S Brushless Motor 5mm Shaft for Drone FPV Racing,https://www.banggood.com/Foxeer-Datura-1507-2750KV-4-6S-or-4150KV-3-4S-Brushless-Motor-5mm-Shaft-for-RC-Drone-FPV-Racing-p-1987862.html?cur_warehouse=CN&ID=62658496291970&rmmds=search,£17.41,£19.35,10% Off,8 reviews,5.00
rc_drones,DarwinFPV CineApe 25 Frame 112mm Wheelbase Inverted 2.5 Inch Cinematic Whoop Frame Kit / Replace Bottom Plate Upper Plate for Drone FPV Racing,https://www.banggood.com/DarwinFPV-CineApe-25-Frame-112mm-Wheelbase-Inverted-2_5-Inch-Cinematic-Whoop-Frame-Kit-or-Replace-Bottom-Plate-Upper-Plate-for-RC-Drone-FPV-Racing-p-1985379.html?cur_warehouse=CN&ID=6291981&rmmds=search,£9.50,,,12 reviews,4.92
rc_drones,HGLRC SPECTER 1202.5 11000KV 1-2S Brushless Motor for DIY 2-3 Inch FPV Racing Drone,https://www.banggood.com/HGLRC-SPECTER-1202_5-11000KV-1-2S-Brushless-Motor-for-DIY-2-3-Inch-RC-FPV-Racing-Drone-p-1996425.html?cur_warehouse=CN&ID=62125086291970&rmmds=search,£11.34,£12.07,6% Off,5 reviews,5.00
rc_drones,10 Pairs HQProp 4X3X3 4030 4 Inch 3-Balde Propeller Poly Carbonate for Drone FPV Racing,https://www.banggood.com/10-Pairs-HQProp-4X3X3-4030-4-Inch-3-Balde-Propeller-Poly-Carbonate-for-RC-Drone-FPV-Racing-p-1998619.html?cur_warehouse=CN&ID=6313663&rmmds=search,£11.60,,,3 reviews,5.00
rc_drones,DarwinFPV BabyApe Ⅱ Spare Part 156mm Wheelbase 3.5 Inch Freestyle Frame Kit for Drone FPV Racing,https://www.banggood.com/DarwinFPV-BabyApe--Spare-Part-156mm-Wheelbase-3_5-Inch-Freestyle-Frame-Kit-for-RC-Drone-FPV-Racing-p-1990373.html?cur_warehouse=CN&ID=6223152&rmmds=search,£23.99,,,15 reviews,4.93
rc_drones,DarwinFPV Baby Baby Ape V2 Frame 142mm Wheelbase 3 Inch Empty Kit for Drone FPV Racing,https://www.banggood.com/DarwinFPV-Baby-Baby-Ape-V2-Frame-142mm-Wheelbase-3-Inch-Empty-Kit-for-RC-Drone-FPV-Racing-p-1985212.html?cur_warehouse=CN&ID=6223152&rmmds=search,£22.44,,,9 reviews,4.56
rc_drones,30.5x30.5mm iFlight BLITZ E55S 55A 2-6S BLheli_S 4IN1 Brushless ESC for FPV Racing Drone,https://www.banggood.com/30_5x30_5mm-iFlight-BLITZ-E55S-55A-2-6S-BLheli_S-4IN1-Brushless-ESC-for-RC-FPV-Racing-Drone-p-1996868.html?cur_warehouse=CN&ID=6304476&rmmds=search,£32.51,,,2 reviews,5.00
rc_drones,DarwinFPV BabyApe II Spare Part 4 pcs Carbon Fiber Replace Arms for 3.5 inch FPV Racing Drone,https://www.banggood.com/DarwinFPV-BabyApe-II-Spare-Part-4-pcs-Carbon-Fiber-Replace-Arms-for-3_5-inch-RC-FPV-Racing-Drone-p-1990370.html?cur_warehouse=CN&ID=6291971&rmmds=search,£11.30,,,14 reviews,4.71
rc_drones,GEPRC SPEEDX2 2207 1960KV 2050KV 6S Brushless Motor for Racer 4 Inch 5 Inch FPV Racing Drone,https://www.banggood.com/GEPRC-SPEEDX2-2207-1960KV-2050KV-6S-Brushless-Motor-for-Racer-4-Inch-5-Inch-RC-FPV-Racing-Drone-p-1998665.html?cur_warehouse=CN&ID=5169556291970&rmmds=search,£20.59,£30.96,34% Off,6 reviews,5.00
rc_drones,Happymodel Bassline Spare Part Replace Bottom Plate AIO Frame Arm for Drone FPV Racing,https://www.banggood.com/Happymodel-Bassline-Spare-Part-Replace-Bottom-Plate-AIO-Frame-Arm-for-RC-Drone-FPV-Racing-p-1980438.html?cur_warehouse=CN&ID=6291978&rmmds=search,£12.38,,,1 review,5.00
rc_drones,4 Pairs Gemfan 1208 31mm 1.2 Inch 4-Blade Propeller 0.8mm / 1.0mm / 1.5mm Shaft Hole for 0802 25000KV High KV Motor DIY Whoop Drone FPV Racing,https://www.banggood.com/4-Pairs-Gemfan-1208-31mm-1_2-Inch-4-Blade-Propeller-0_8mm-or-1_0mm-or-1_5mm-Shaft-Hole-for-0802-25000KV-High-KV-Motor-DIY-Whoop-RC-Drone-FPV-Racing-p-1984445.html?cur_warehouse=CN&ID=493126322393&rmmds=search,£3.48,£3.86,10% Off,10 reviews,4.50
rc_drones,2 / 6 Pairs Gemfan LR 5126 5.1x2.6 5.1 Inch 2-Blade Propeller Long Range PC for High-Powered FPV Racing Drone Performance,https://www.banggood.com/2-or-6-Pairs-Gemfan-LR-5126-5_1x2_6-5_1-Inch-2-Blade-Propeller-Long-Range-PC-for-High-Powered-RC-FPV-Racing-Drone-Performance-p-1990907.html?cur_warehouse=CN&ID=62993896305561&rmmds=search,£4.17,£4.64,10% Off,6 reviews,4.67
rc_drones,Happymodel RS1002 1002 20000KV 1S Brushless Motor 1.5mm Shaft for Moblite7 Walksnail Whoop Drone FPV Racing,https://www.banggood.com/Happymodel-RS1002-1002-20000KV-1S-Brushless-Motor-1_5mm-Shaft-for-Moblite7-Walksnail-Whoop-RC-Drone-FPV-Racing-p-1991204.html?cur_warehouse=CN&ID=6291970&rmmds=search,£13.15,,,5 reviews,4.60
rc_drones,Racerstar BA2216 880KV/1100KV/1250KV/1400KV/1800KV 2-4S Brushless Motor For Fixed Wing Airplane FPV Racing Drone,https://www.banggood.com/Racerstar-BA2216-880KV-or-1100KV-or-1250KV-or-1400KV-or-1800KV-2-4S-Brushless-Motor-For-Fixed-Wing-RC-Airplane-FPV-Racing-Drone-p-1798968.html?cur_warehouse=CN&ID=499386309317&rmmds=search,£10.06,£17.64,43% Off,122 reviews,4.84
rc_drones,6 Pairs Gemfan 51366 MCK V3 5 Inch Tri-blade PC Props Propeller for 2306 2207 Motor DIY FPV Racing Drone,https://www.banggood.com/6-Pairs-Gemfan-51366-MCK-V3-5-Inch-Tri-blade-PC-Props-Propeller-for-2306-2207-Motor-DIY-RC-FPV-Racing-Drone-p-2004773.html?cur_warehouse=CN&ID=62878376324484&rmmds=search,£9.28,,,12 reviews,4.92
rc_drones,iFlight Soft LED Strip Colorful for Defender25 HD Drone FPV Racing,https://www.banggood.com/IFlight-Soft-LED-Strip-Colorful-for-Defender25-HD-RC-Drone-FPV-Racing-p-1986649.html?cur_warehouse=CN&ID=6287837&rmmds=search,£5.80,,,3 reviews,4.67
rc_drones,DarwinFPV BabyApe II Spare Part 4 PCS 12V LED Strip Light for 3.5 Inch Drone FPV Racing,https://www.banggood.com/DarwinFPV-BabyApe-II-Spare-Part-4-PCS-12V-LED-Strip-Light-for-3_5-Inch-RC-Drone-FPV-Racing-p-1990371.html?cur_warehouse=CN&ID=6291971&rmmds=search,£5.81,,,4 reviews,5.00
rc_drones,DarwinFPV BabyApe II Spare Part 2 PCS Side Plates for Drone FPV Racing,https://www.banggood.com/DarwinFPV-BabyApe-II-Spare-Part-2-PCS-Side-Plates-for-RC-Drone-FPV-Racing-p-1990381.html?cur_warehouse=CN&ID=6291980&rmmds=search,£5.47,,,7 reviews,4.86
